City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,owando,-0.4819,15.8999,23.3,95,100,1.1,CG,1684303810
152,udachnyy,66.4167,112.4,2.72,83,100,7.21,RU,1684303737
153,hithadhoo,-0.6,73.0833,28.65,78,90,6.74,MV,1684303811
154,blagoyevo,63.3667,47.9167,20.45,40,100,2.84,RU,1684303811
155,bengkulu,-3.8004,102.2655,29.19,74,46,4.27,ID,1684303811
156,caravelas,-17.7125,-39.2481,21.7,92,5,1.95,BR,1684303812
157,pochutla,15.7432,-96.4661,27.78,67,28,1.41,MX,1684303812
158,goroka,-6.0834,145.3873,20.14,94,91,0.68,PG,1684303812
159,dunedin,-45.8742,170.5036,9.89,94,100,0.45,NZ,1684303597
160,chumikan,54.7183,135.315,2.0,97,100,1.03,RU,1684303813
161,lagoa,39.05,-27.9833,17.37,90,74,5.53,PT,1684303813
162,cockburn town,21.4612,-71.1419,27.02,77,83,5.27,TC,1684303814
163,haputale,6.7681,80.9595,25.0,56,73,2.56,LK,1684303814
164,vestmannaeyjar,63.4427,-20.2734,8.01,90,100,6.73,IS,1684303814
165,bethel,41.3712,-73.414,17.64,54,100,0.45,US,1684303814
166,kdyne,49.3908,13.0397,9.37,80,100,2.22,CZ,1684303814
167,banjar,-8.19,114.9675,29.44,62,9,1.38,ID,1684303815
168,codrington,-38.2667,141.9667,11.78,61,100,2.25,AU,1684303815
169,sitka,57.0531,-135.33,12.94,67,0,3.6,US,1684303815
170,erenhot,43.6475,111.9767,18.14,19,0,6.47,CN,1684303815
171,nizhniy tsasuchey,50.5167,115.1333,17.57,16,9,5.06,RU,1684303816
172,massaguet,12.4755,15.4365,33.16,34,77,3.86,TD,1684303816
173,bagotville,-28.9833,153.4167,18.69,71,52,7.25,AU,1684303816
174,maxixe,-23.8597,35.3472,22.42,69,17,3.15,MZ,1684303816
175,kaitangata,-46.2817,169.8464,8.8,90,100,4.25,NZ,1684303817
176,faanui,-16.4833,-151.75,27.72,72,27,4.3,PF,1684303817
177,bilibino,68.0546,166.4372,1.66,75,77,1.51,RU,1684303817
178,hasaki,35.7333,140.8333,34.05,63,0,6.44,JP,1684303561
179,kodiak,57.79,-152.4072,6.73,57,0,2.57,US,1684303818
180,grande prairie,55.1667,-118.8027,10.75,46,4,1.29,CA,1684303797
181,marawi,7.9986,124.2928,26.13,79,80,1.24,PH,1684303823
182,damavand,35.7178,52.065,11.38,41,0,3.01,IR,1684303824
183,bosconia,9.9689,-73.8836,23.19,94,100,1.73,CO,1684303824
184,agadez,19.75,10.25,26.79,19,23,3.75,NE,1684303824
185,port-gentil,-0.7193,8.7815,26.71,86,100,7.14,GA,1684303824
186,longyearbyen,78.2186,15.6401,-2.09,80,75,1.03,SJ,1684303825
187,komsomolskiy,40.4272,71.7189,22.4,43,74,7.2,UZ,1684303825
188,kushima,31.4583,131.2333,24.96,66,78,4.39,JP,1684303825
189,fortuna,40.5982,-124.1573,12.74,96,100,0.0,US,1684303825
190,kokopo,-4.352,152.2633,27.98,76,100,1.81,PG,1684303826
191,uberaba,-19.7483,-47.9319,12.0,64,0,1.75,BR,1684303826
192,tabou,4.423,-7.3528,25.07,87,100,0.82,CI,1684303826
193,sinnamary,5.3833,-52.95,25.12,91,100,3.55,GF,1684303826
194,tambilil,5.9622,124.6697,29.95,72,92,2.51,PH,1684303827
195,mar del plata,-38.0023,-57.5575,15.61,90,0,2.06,AR,1684303827
196,saint-pierre,-21.3393,55.4781,28.82,58,0,1.54,RE,1684303827
197,solnechnyy,50.7214,136.6319,16.21,35,94,5.14,RU,1684303827
198,ilebo,-4.3167,20.5833,23.91,85,96,0.49,CD,1684303828
199,palana,59.1167,159.9667,6.24,93,98,2.11,RU,1684303828
200,sarankhola,22.3082,89.7897,36.41,49,27,5.64,BD,1684303828
201,kuala terengganu,5.3302,103.1408,33.28,70,67,1.96,MY,1684303828
202,chokurdakh,70.6333,147.9167,0.08,96,98,5.37,RU,1684303829
203,severo-kurilsk,50.6789,156.125,4.05,87,100,9.22,RU,1684303829
204,batagay-alyta,67.8006,130.4114,0.01,96,100,2.51,RU,1684303829
205,victoria,22.2855,114.1577,30.54,90,48,5.81,HK,1684303679
206,benghazi,32.1167,20.0667,19.15,65,2,4.18,LY,1684303829
207,umm lajj,25.0213,37.2685,29.58,47,56,1.86,SA,1684303830
208,sorland,67.667,12.6934,6.92,70,75,2.57,NO,1684303830
209,luderitz,-26.6481,15.1594,13.37,74,0,5.26,NA,1684303830
210,los llanos de aridane,28.6585,-17.9182,16.86,82,100,5.66,ES,1684303830
211,nalut,30.3333,10.85,18.63,33,0,3.51,LY,1684303831
212,saldanha,-33.0117,17.9442,15.63,70,97,3.94,ZA,1684303831
213,wewak,-3.5534,143.6268,25.85,89,100,2.21,PG,1684303831
214,porto-vecchio,41.591,9.2795,16.74,82,79,1.03,FR,1684303735
215,grand gaube,-20.0064,57.6608,29.22,69,11,3.13,MU,1684303837
216,westport,41.1415,-73.3579,19.54,49,0,2.57,US,1684303834
217,talnakh,69.4865,88.3972,-0.44,89,51,2.61,RU,1684303837
218,bathsheba,13.2167,-59.5167,27.34,83,40,4.63,BB,1684303838
219,crixas,-14.5489,-49.9692,19.66,66,0,1.48,BR,1684303838
220,port moresby,-9.4431,147.1797,28.68,79,75,5.14,PG,1684303838
221,kiama,-34.6833,150.8667,15.21,75,83,6.45,AU,1684303839
222,basse-pointe,14.8695,-61.115,26.58,49,99,4.92,MQ,1684303839
223,mnogovershinnyy,53.9353,139.9242,9.74,58,68,1.96,RU,1684303839
224,rosarito,32.3333,-117.0333,15.54,82,15,3.38,MX,1684303840
225,prattville,32.464,-86.4597,20.73,93,100,0.0,US,1684303840
226,marechal candido rondon,-24.5561,-54.0567,13.58,82,0,3.18,BR,1684303840
227,lorengau,-2.0226,147.2712,26.49,88,100,6.11,PG,1684303840
228,penzance,50.1186,-5.5371,10.38,84,34,4.53,GB,1684303840
229,port lincoln,-34.7333,135.8667,14.08,56,100,4.16,AU,1684303782
230,dicabisagan,17.0818,122.4157,29.94,76,100,1.48,PH,1684303841
231,comodoro rivadavia,-45.8667,-67.5,11.92,37,0,5.14,AR,1684303841
232,north platte,41.1239,-100.7654,13.54,75,0,1.79,US,1684303841
233,zaykovo,57.5613,62.7568,15.62,27,76,2.99,RU,1684303842
234,yanam,16.7333,82.2167,33.48,67,82,3.62,IN,1684303842
235,goure,13.9835,10.2704,30.18,44,87,5.74,NE,1684303842
236,belaya gora,68.5333,146.4167,6.27,76,71,3.05,RU,1684303842
237,tacuati,-23.45,-56.5833,14.71,91,0,1.73,PY,1684303843
238,storslett,69.7678,21.0247,6.0,93,75,0.51,NO,1684303843
239,walvis bay,-22.9575,14.5053,12.83,88,0,0.83,NA,1684303843
240,bud,39.447,-86.1758,14.01,91,33,3.25,US,1684303843
241,pokhara,28.2333,83.9833,33.04,22,9,3.58,NP,1684303844
242,carnarvon,-24.8667,113.6333,25.56,36,34,3.71,AU,1684303844
243,leh,34.1667,77.5833,9.41,33,30,1.29,IN,1684303844
244,nanortalik,60.1432,-45.2371,1.89,91,100,3.73,GL,1684303844
245,nanae,41.8833,140.6833,19.22,71,22,2.33,JP,1684303845
246,hamilton,39.1834,-84.5333,13.51,91,100,1.54,US,1684303781
247,vallenar,-28.5708,-70.7581,14.09,87,41,1.95,CL,1684303851
248,sol-iletsk,51.1631,54.9918,19.84,41,100,11.53,RU,1684303851
249,beringovskiy,63.05,179.3167,-1.74,75,1,3.51,RU,1684303852
250,serenje,-13.2325,30.2352,17.7,56,69,3.3,ZM,1684303852
251,sechura,-5.5569,-80.8222,24.33,71,64,4.77,PE,1684303852
252,nuuk,64.1835,-51.7216,0.34,100,100,2.06,GL,1684303852
253,poronaysk,49.2167,143.1167,5.39,93,100,3.98,RU,1684303853
254,jiangyou,31.7667,104.7167,29.48,40,100,1.52,CN,1684303853
255,sigli,5.3848,95.9609,30.23,70,85,3.71,ID,1684303853
256,te anau,-45.4167,167.7167,4.52,98,100,1.26,NZ,1684303853
257,havre-saint-pierre,50.2334,-63.5986,2.0,59,99,4.66,CA,1684303853
258,zyryanka,65.75,150.85,14.22,46,32,9.18,RU,1684303854
259,anda,46.4,125.3167,21.51,12,84,2.97,CN,1684303854
260,saint-augustin,51.226,-58.6502,2.53,88,99,3.73,CA,1684303855
261,galesong,-5.3166,119.3661,31.01,75,78,3.91,ID,1684303855
262,narsaq,60.9167,-46.05,4.12,81,100,2.6,GL,1684303855
263,aden,12.7794,45.0367,30.35,74,8,4.88,YE,1684303855
264,lagos,6.5833,3.75,25.29,92,100,0.36,NG,1684303612
265,oktyabrskoye,43.0645,44.7417,12.97,67,75,5.0,RU,1684303856
266,tuatapere,-46.1333,167.6833,7.2,93,100,1.94,NZ,1684303856
267,shimoda,34.6667,138.95,26.2,63,0,5.41,JP,1684303558
268,tasiilaq,65.6145,-37.6368,0.09,97,100,3.14,GL,1684303856
269,miguel pereira,-22.4539,-43.4689,14.96,96,27,1.15,BR,1684303856
270,mangai,-4.05,19.5333,23.27,90,100,0.82,CD,1684303857
271,puerto colombia,10.9878,-74.9547,25.05,86,100,1.86,CO,1684303857
272,port said,31.2565,32.2841,22.18,72,0,2.52,EG,1684303857
273,abu samrah,35.3029,37.1841,29.51,12,90,5.23,SY,1684303857
274,carmen,18.6333,-91.8333,26.99,73,1,4.43,MX,1684303858
275,sur,22.5667,59.5289,36.24,36,0,2.49,OM,1684303858
276,qaqortoq,60.7167,-46.0333,2.58,82,100,2.4,GL,1684303858
277,visby,57.6409,18.296,10.58,87,75,10.8,SE,1684303858
278,koumac,-20.5667,164.2833,26.58,71,39,2.96,NC,1684303859
279,east london,-33.0153,27.9116,15.52,82,0,2.57,ZA,1684303865
280,kandrian,-6.2167,149.55,28.74,77,49,1.94,PG,1684303865
281,coahuayana,18.7333,-103.6833,23.7,83,0,1.46,MX,1684303866
282,cooma,-36.2333,149.1333,8.91,51,44,2.81,AU,1684303579
283,tadine,-21.55,167.8833,24.53,70,35,3.72,NC,1684303581
284,hokitika,-42.7167,170.9667,12.5,83,100,2.64,NZ,1684303866
285,labuhan,-6.8844,112.2051,29.65,61,10,1.41,ID,1684303867
286,kazachinskoye,57.6953,93.2761,3.36,81,100,5.45,RU,1684303867
